State,different_from_oregon_flag,metric_nodata_flag,metric,variable,category,category_reporting_flag,category_reporting_note
AK,FALSE,FALSE,Cases,Race,Black or African American,FALSE,NA
AK,FALSE,FALSE,Cases,Race,Hispanic or Latino,FALSE,NA
AK,FALSE,FALSE,Cases,Race,Asian,FALSE,NA
AK,FALSE,FALSE,Cases,Race,Native Hawaiian and Other Pacific Islander,FALSE,NA
AK,FALSE,FALSE,Cases,Race,American Indian and Alaska Native,FALSE,NA
AK,FALSE,FALSE,Cases,Race,Two or more races,FALSE,NA
AK,FALSE,FALSE,Cases,Race,White,FALSE,NA
AK,FALSE,FALSE,Cases,Race,Some other race,FALSE,NA
AK,FALSE,FALSE,Cases,Ethnicity,Hispanic or Latino (of any race),FALSE,NA
AK,FALSE,FALSE,Cases,Ethnicity,Not Hispanic or Latino,FALSE,NA
AK,FALSE,FALSE,Deaths,Race,Black or African American,FALSE,NA
AK,FALSE,FALSE,Deaths,Race,Hispanic or Latino,FALSE,NA
AK,FALSE,FALSE,Deaths,Race,Asian,FALSE,NA
AK,FALSE,FALSE,Deaths,Race,Native Hawaiian and Other Pacific Islander,FALSE,NA
AK,FALSE,FALSE,Deaths,Race,American Indian and Alaska Native,FALSE,NA
AK,FALSE,FALSE,Deaths,Race,Two or more races,FALSE,NA
AK,FALSE,FALSE,Deaths,Race,White,FALSE,NA
AK,FALSE,FALSE,Deaths,Race,Some other race,FALSE,NA
AK,FALSE,FALSE,Deaths,Ethnicity,Hispanic or Latino (of any race),FALSE,NA
AK,FALSE,FALSE,Deaths,Ethnicity,Not Hispanic or Latino,FALSE,NA
AL,TRUE,FALSE,Cases,Race,Black or African American,FALSE,NA
AL,TRUE,FALSE,Cases,Race,Hispanic or Latino,FALSE,NA
AL,TRUE,FALSE,Cases,Race,Asian,FALSE,NA
AL,TRUE,FALSE,Cases,Race,Native Hawaiian and Other Pacific Islander,TRUE,"Alabama does not specify if this race category is included under a grouping it labels ""Other."""
AL,TRUE,FALSE,Cases,Race,American Indian and Alaska Native,TRUE,"Alabama does not specify if this race category is included under a grouping it labels ""Other."""
AL,TRUE,FALSE,Cases,Race,Two or more races,TRUE,"Alabama does not specify if this race category is included under a grouping it labels ""Other."""
AL,TRUE,FALSE,Cases,Race,White,FALSE,NA
AL,TRUE,FALSE,Cases,Race,Some other race,TRUE,"Alabama does not specify if this race category is included under a grouping it labels ""Other."""
AL,TRUE,FALSE,Cases,Ethnicity,Hispanic or Latino (of any race),FALSE,NA
AL,TRUE,FALSE,Cases,Ethnicity,Not Hispanic or Latino,FALSE,NA
AL,TRUE,FALSE,Deaths,Race,Black or African American,FALSE,NA
AL,TRUE,FALSE,Deaths,Race,Hispanic or Latino,FALSE,NA
AL,TRUE,FALSE,Deaths,Race,Asian,FALSE,NA
AL,TRUE,FALSE,Deaths,Race,Native Hawaiian and Other Pacific Islander,TRUE,"Alabama does not specify if this race category is included under a grouping it labels ""Other."""
