Date,State,Cases_Total,Deaths_Total,cases_reported_flag,deaths_reported_flag,timestamp
2020-08-12,AK,4655,27,TRUE,TRUE,2020-08-13T06:07:52Z
2020-08-12,AL,104786,1882,TRUE,TRUE,2020-08-13T06:07:52Z
2020-08-12,AR,51114,573,TRUE,TRUE,2020-08-13T06:07:52Z
2020-08-12,AS,,,FALSE,FALSE,2020-08-13T06:07:52Z
2020-08-12,AZ,189443,4347,TRUE,TRUE,2020-08-13T06:07:52Z
2020-08-12,CA,586056,10648,TRUE,TRUE,2020-08-13T06:07:52Z
2020-08-12,CO,51756,1756,TRUE,TRUE,2020-08-13T06:07:52Z
2020-08-12,CT,50706,4450,TRUE,TRUE,2020-08-13T06:07:52Z
2020-08-12,DC,12959,593,TRUE,TRUE,2020-08-13T06:07:52Z
2020-08-12,DE,15765,592,TRUE,TRUE,2020-08-13T06:07:52Z
2020-08-12,FL,550901,8898,TRUE,TRUE,2020-08-13T06:07:52Z
2020-08-12,GA,226153,4456,TRUE,TRUE,2020-08-13T06:07:52Z
2020-08-12,GU,449,5,TRUE,TRUE,2020-08-13T06:07:52Z
2020-08-12,HI,3958,38,TRUE,TRUE,2020-08-13T06:07:52Z
2020-08-12,IA,49814,953,TRUE,TRUE,2020-08-13T06:07:52Z
2020-08-12,ID,26133,246,TRUE,TRUE,2020-08-13T06:07:52Z
2020-08-12,IL,199893,7881,TRUE,TRUE,2020-08-13T06:07:52Z
2020-08-12,IN,76522,3086,TRUE,TRUE,2020-08-13T06:07:52Z
2020-08-12,KS,32547,395,TRUE,TRUE,2020-08-13T06:07:52Z
2020-08-12,KY,36945,790,TRUE,TRUE,2020-08-13T06:07:52Z
2020-08-12,LA,134304,4361,TRUE,TRUE,2020-08-13T06:07:52Z
2020-08-12,MA,122000,8769,TRUE,TRUE,2020-08-13T06:07:52Z
2020-08-12,MD,96384,3612,TRUE,TRUE,2020-08-13T06:07:52Z
2020-08-12,ME,4070,126,TRUE,TRUE,2020-08-13T06:07:52Z
2020-08-12,MI,98689,6539,TRUE,TRUE,2020-08-13T06:07:52Z
2020-08-12,MN,62303,1724,TRUE,TRUE,2020-08-13T06:07:52Z
2020-08-12,MO,62530,1323,TRUE,TRUE,2020-08-13T06:07:52Z
2020-08-12,MP,49,2,TRUE,TRUE,2020-08-13T06:07:52Z
2020-08-12,MS,68293,1944,TRUE,TRUE,2020-08-13T06:07:52Z
2020-08-12,MT,5268,80,TRUE,TRUE,2020-08-13T06:07:52Z
2020-08-12,NC,139061,2249,TRUE,TRUE,2020-08-13T06:07:52Z
2020-08-12,ND,7970,104,TRUE,TRUE,2020-08-13T06:07:52Z
2020-08-12,NE,29244,356,TRUE,TRUE,2020-08-13T06:07:52Z
2020-08-12,NH,6887,420,TRUE,TRUE,2020-08-13T06:07:52Z
2020-08-12,NJ,185938,15885,TRUE,TRUE,2020-08-13T06:07:52Z
2020-08-12,NM,22816,695,TRUE,TRUE,2020-08-13T06:07:52Z
2020-08-12,NV,58048,996,TRUE,TRUE,2020-08-13T06:07:52Z
2020-08-12,NY,422703,28386,TRUE,TRUE,2020-08-13T06:07:52Z
2020-08-12,OH,104248,3734,TRUE,TRUE,2020-08-13T06:07:52Z
2020-08-12,OK,45398,627,TRUE,TRUE,2020-08-13T06:07:52Z
2020-08-12,OR,22022,375,TRUE,TRUE,2020-08-13T06:07:52Z
2020-08-12,PA,121130,7385,TRUE,TRUE,2020-08-13T06:07:52Z
2020-08-12,PR,24074,295,TRUE,TRUE,2020-08-13T06:07:52Z
2020-08-12,RI,20129,1018,TRUE,TRUE,2020-08-13T06:07:52Z
2020-08-12,SC,102974,2144,TRUE,TRUE,2020-08-13T06:07:52Z
2020-08-12,SD,9815,147,TRUE,TRUE,2020-08-13T06:07:52Z
2020-08-12,TN,126393,1289,TRUE,TRUE,2020-08-13T06:07:52Z
2020-08-12,TX,506820,9034,TRUE,TRUE,2020-08-13T06:07:52Z
2020-08-12,UT,45090,351,TRUE,TRUE,2020-08-13T06:07:52Z
2020-08-12,VA,102521,2352,TRUE,TRUE,2020-08-13T06:07:52Z
2020-08-12,VI,639,9,TRUE,TRUE,2020-08-13T06:07:52Z
2020-08-12,VT,1478,58,TRUE,TRUE,2020-08-13T06:07:52Z
2020-08-12,WA,64702,1724,TRUE,TRUE,2020-08-13T06:07:52Z
2020-08-12,WI,66654,1018,TRUE,TRUE,2020-08-13T06:07:52Z
2020-08-12,WV,8008,153,TRUE,TRUE,2020-08-13T06:07:52Z
2020-08-12,WY,3086,29,TRUE,TRUE,2020-08-13T06:07:52Z
